index,reviewid,artist,title,score,author
1711,3523,gorilla monsoon,gorilla monsoon,2.3,brian james
1721,1961,various artists,soundbombing iii,2.2,sam chennault
1724,1145,bunnybrains,box the bunny,2.1,joe tangari
1730,15683,chiddy bang,peanut butter and swelly,2.1,tom breihan
1731,6651,radio 4,stealing of a nation,2.1,nick sylvester
1732,2749,hanin elias,no games no fun,2.1,mark martelli
1734,4059,iditarod,the river nektar,2.1,joe tangari
1750,17708,paul banks,everybody on my dick like they supposed to be,2.0,jayson greene
1770,14420,ninjasonik,art school girls,1.9,ian cohen
1772,5715,nate denvers neck,prepare to die,1.9,jason nickey
1776,13249,50 cent,war angel,1.8,ian cohen
1799,4663,land of the el caminos,subourbon,1.2,alison fields
1808,18560,pixies,ep 1,1.0,jayson greene
1809,2996,geoff farina,blobscape,1.0,brad haywood
1822,12544,black rebel motorcycle club,the effects of 333,0.4,ian cohen
1826,8732,wolfie,wheres wolfie,0.2,brent dicrescenzo
