reviewid,electronic,experimental,folk/country,global,jazz,metal,pop/r&b,rap,rock,unknown
559,1,0,0,0,0,0,0,0,1,0
560,0,0,0,0,0,0,0,0,1,0
561,0,0,0,0,0,0,0,0,1,0
562,0,0,0,0,0,0,0,0,1,0
565,0,0,0,0,0,0,0,1,0,0
566,0,0,0,0,0,0,0,1,0,0
568,0,1,0,0,0,0,0,0,1,0
569,0,1,0,0,0,0,0,0,1,0
570,0,1,0,0,1,0,0,0,0,0
571,1,0,0,0,0,0,0,0,0,0
573,1,0,0,0,0,0,0,0,0,0
574,1,0,0,0,0,0,0,0,0,0
575,0,0,0,0,0,0,0,0,1,0
576,0,1,0,0,0,0,0,0,0,0
577,0,1,0,0,0,0,0,0,0,0
580,0,1,0,0,0,0,0,0,0,0
583,0,1,0,0,0,0,0,0,1,0
584,0,0,0,0,0,0,0,0,0,1
598,0,0,0,0,0,0,0,0,1,0
599,0,0,0,0,0,0,0,0,1,0
600,0,0,0,0,0,0,0,0,1,0
601,0,0,0,0,0,0,0,1,0,0
602,0,0,0,0,0,0,0,1,0,0
603,0,0,0,0,0,0,0,1,0,0
604,0,0,0,0,0,0,0,1,0,0
605,0,0,0,0,0,0,0,1,0,0
607,0,0,0,0,0,0,0,1,1,0
608,0,0,0,0,0,0,0,1,1,0
609,0,0,0,0,0,0,0,1,1,0
614,0,0,0,0,0,1,0,0,0,0
616,0,0,0,0,0,0,0,0,1,0
617,0,0,0,0,0,0,0,0,1,0
621,0,0,0,0,0,0,0,0,1,0
622,0,0,0,0,0,0,0,0,1,0
629,0,0,0,0,0,0,0,0,1,0
631,0,0,0,0,0,0,0,0,1,0
633,0,0,0,0,0,0,0,0,1,0
637,0,0,0,0,0,0,0,0,1,0
638,0,0,0,0,0,0,0,0,1,0
639,0,0,0,0,0,0,0,0,1,0
640,0,0,0,0,0,0,0,0,1,0
641,0,0,0,0,0,0,0,0,1,0
642,0,0,0,0,0,0,0,0,1,0
644,0,0,0,0,0,0,0,0,1,0
645,0,0,0,0,0,0,0,0,1,0
648,0,0,0,0,0,0,0,0,0,1
649,0,0,0,0,0,0,0,0,1,0
654,0,0,0,0,0,0,0,0,0,1
655,0,0,0,0,0,0,0,0,1,0
656,0,0,0,0,0,0,0,0,1,0
657,0,0,0,0,0,0,0,0,1,0
661,1,0,0,0,0,0,0,0,0,0
663,0,1,0,0,1,0,0,0,0,0
